,,,Breakfast at the Frat: A Time Series Analysis,,,,,,,,,,,
15765,CYPRESS TOWN CENTER,HOUSTON,TX,26420,MAINSTREAM,,49068,25351,,,,,,
17615,SUGARLAND,SUGAR LAND,TX,26420,MAINSTREAM,,48632,32491,,,,,,
21479,WOOD FOREST S/C,HOUSTON,TX,26420,VALUE,,49104,29436,,,,,,
25027,CINCINNATI,CINCINNATI,OH,17140,MAINSTREAM,,62656,43893,,,,,,
25253,HIGHWAY 75,MCKINNEY,TX,19100,MAINSTREAM,,33931,11934,,,,,,
29159,CARROLLTON,CARROLLTON,TX,19100,MAINSTREAM,,54927,25917,,,,,,
17627,FLOWER MOUND,FLOWER MOUND,TX,19100,MAINSTREAM,513,59213,18197,,,,,,
613,EAST ALLEN,ALLEN,TX,19100,MAINSTREAM,464,64926,29386,,,,,,
2523,LANDMARK PLACE S/C,GRAND PRAIRIE,TX,19100,VALUE,252,34373,14201,,,,,,
11757,INDEPENDENCE,INDEPENDENCE,KY,17140,MAINSTREAM,,32943,16904,,,,,,
12011,SHERMAN,SHERMAN,TX,43300,MAINSTREAM,,41325,23153,,,,,,
21227,LIBERTY TWP,MIDDLETOWN,OH,17140,UPSCALE,,85710,34875,,,,,,
21237,LEBANON,LEBANON,OH,17140,MAINSTREAM,,86517,38465,,,,,,
23075,TYLERSVILLE,WEST CHESTER,OH,17140,MAINSTREAM,564,51105,18842,,,,,,
23349,GARLAND,GARLAND,TX,19100,VALUE,,46212,27823,,,,,,
25229,CYPRESS,CYPRESS,TX,26420,MAINSTREAM,,59241,34977,,,,,,
25233,ANTOINE TOWN CENTER,HOUSTON,TX,26420,VALUE,,46369,35788,,,,,,
26973,MAINEVILLE,MAINEVILLE,OH,17140,MAINSTREAM,,48128,28241,,,,,,
4245,LAWRENCEBURG,LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,19275,,,,,,
11967,NORTHBOROUGH SQ,HOUSTON,TX,26420,VALUE,294,25072,15916,,,,,,
11993,DALLAS,DALLAS,TX,19100,UPSCALE,,57741,26101,,,,,,
17627,FLOWER MOUND,FLOWER MOUND,TX,19100,UPSCALE,513,59213,18197,,,,,,
21221,MIDDLETOWN,MIDDLETOWN,OH,17140,VALUE,,48128,17010,,,,,,
23055,WALNUT HILLS/PEEBLES,CINCINNATI,OH,17140,VALUE,239,22920,13000,,,,,,
24991,HYDE PARK,CINCINNATI,OH,17140,UPSCALE,1859,77730,50619,,,,,,
25261,CROWLEY,CROWLEY,TX,19100,MAINSTREAM,,46368,26189,,,,,,
2281,BLUE ASH,BLUE ASH,OH,17140,UPSCALE,,68500,32297,,,,,,
2495,PLANTATION PLAZA,CLUTE,TX,26420,MAINSTREAM,407,48462,25507,,,,,,
4503,ROCKWALL,ROCKWALL,TX,19100,UPSCALE,,56230,25289,,,,,,
4521,PARKWAY SQUARE S/C,COLLEGE STATION,TX,17780,MAINSTREAM,418,34628,25633,,,,,,
8263,THE WOODLANDS,THE WOODLANDS,TX,26420,UPSCALE,,51055,18877,,,,,,
9825,DENT,CINCINNATI,OH,17140,MAINSTREAM,,54124,29916,,,,,,
15547,WOODLAWN,CINCINNATI,OH,17140,MAINSTREAM,,48132,27358,,,,,,
387,TOWN & COUNTRY,KETTERING,OH,19380,UPSCALE,270,44547,22867,,,,,,
2279,MILFORD-MULBERRY,MILFORD,OH,17140,MAINSTREAM,771,44175,23037,,,,,,
6179,DEERFIELD TWP,MASON,OH,17140,UPSCALE,,54448,35288,,,,,,
11761,MIAMI TOWNSHIP,LOVELAND,OH,17140,UPSCALE,,53905,23348,,,,,,
13827,BEAUMONT,BEAUMONT,TX,13140,MAINSTREAM,,50766,26001,,,,,,
15541,LOVELAND,LOVELAND,OH,17140,MAINSTREAM,326,38858,18665,,,,,,
15763,WOODLANDS,WOODLANDS,TX,26420,UPSCALE,,47530,12176,,,,,,
19521,SOUTHLAKE,SOUTHLAKE,TX,19100,UPSCALE,,47757,14052,,,,,,
21213,MT. CARMEL,CINCINNATI,OH,17140,MAINSTREAM,,46630,14512,,,,,,
23061,LIBERTY TWP.,HAMILTON,OH,17140,MAINSTREAM,,42437,16591,,,,,,
23067,WHIPP & BIGGER,KETTERING,OH,19380,MAINSTREAM,230,37319,14556,,,,,,
27175,KATY,KATY,TX,26420,UPSCALE,,50224,24902,,,,,,
28909,MIDDLETOWN,MIDDLETOWN,OH,17140,MAINSTREAM,,85876,28986,,,,,,
